City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,14.52,81,52,6.46,ZA,1692388425
1,caleta de carquin,-11.0925,-77.6267,20.71,72,12,5.93,PE,1692388763
2,karratha,-20.7377,116.8463,19.66,29,0,7.56,AU,1692388601
3,powell river,49.8496,-124.5361,20.74,48,0,6.69,CA,1692388765
4,pisco,-13.7,-76.2167,22.03,68,75,9.26,PE,1692388499
5,adamstown,-25.066,-130.1015,16.84,51,93,7.74,PN,1692388467
6,bethel,41.3712,-73.414,27.6,59,0,3.6,US,1692388500
7,waitangi,-43.9535,-176.5597,11.01,80,14,5.36,NZ,1692388474
8,lodwar,3.1191,35.5973,29.99,35,1,6.83,KE,1692388766
9,anadyr,64.75,177.4833,14.28,88,75,4.0,RU,1692388552
10,constantia,44.1833,28.65,22.61,73,5,4.62,RO,1692388471
11,blackmans bay,-43.0167,147.3167,7.51,82,100,2.79,AU,1692388486
12,bewdley,52.3754,-2.3172,20.68,99,100,6.05,GB,1692388767
13,lebu,-37.6167,-73.65,10.75,67,100,4.35,CL,1692388484
14,port-aux-francais,-49.35,70.2167,1.54,64,94,16.74,TF,1692388628
15,puerto natales,-51.7236,-72.4875,1.25,86,75,0.51,CL,1692388438
16,tiksi,71.6872,128.8694,3.08,93,100,3.4,RU,1692388476
17,kone,-21.0595,164.8658,16.32,77,4,1.76,NC,1692388512
18,carutapera,-1.195,-46.02,27.9,74,100,5.27,BR,1692388768
19,nuuk,64.1835,-51.7216,6.34,87,40,5.14,GL,1692388557
20,rongelap,11.1635,166.8941,28.31,76,80,5.73,MH,1692388494
21,flying fish cove,-10.4217,105.6791,21.82,100,100,3.6,CX,1692388549
22,kapuskasing,49.4169,-82.4331,19.05,48,75,7.2,CA,1692388480
23,vorgashor,67.5833,63.95,10.72,96,100,7.61,RU,1692388476
24,san antonio de pale,-1.4014,5.6325,23.41,91,100,5.96,GQ,1692388507
25,colonia,50.9333,6.95,27.19,69,0,2.06,DE,1692388303
26,blythe,33.6103,-114.5964,41.84,21,9,3.76,US,1692388769
27,el charco,2.4769,-78.1105,29.15,74,66,3.45,CO,1692388769
28,alice springs,-23.7,133.8833,4.75,65,0,0.0,AU,1692388569
29,fale old settlement,-9.3852,-171.2468,28.08,80,99,8.42,TK,1692388624
30,ta`u,-14.2336,-169.5144,27.85,75,53,8.41,AS,1692388590
31,albany,42.6001,-73.9662,24.4,60,75,0.45,US,1692388288
32,salinas,36.6777,-121.6555,24.12,71,40,3.6,US,1692388407
33,edinburgh of the seven seas,-37.0676,-12.3116,12.21,67,100,14.07,SH,1692388475
34,bamboo flat,11.7,92.7167,27.05,89,40,1.03,IN,1692388615
35,hithadhoo,-0.6,73.0833,27.87,71,12,4.88,MV,1692388431
36,bukama,-9.2,25.85,25.99,27,10,0.35,CD,1692388770
37,longyearbyen,78.2186,15.6401,4.91,81,75,3.6,SJ,1692388489
38,grytviken,-54.2811,-36.5092,-7.58,82,14,5.87,GS,1692388473
39,aasiaat,68.7098,-52.8699,3.75,81,15,1.13,GL,1692388508
40,carnarvon,-24.8667,113.6333,17.19,32,0,6.15,AU,1692388490
41,sitka,57.0531,-135.33,14.94,77,100,4.12,US,1692388491
42,utrik,11.2278,169.8474,28.3,78,33,7.63,MH,1692388544
43,invercargill,-46.4,168.35,5.57,78,100,2.68,NZ,1692388472
44,la ronge,55.1001,-105.2842,17.14,82,100,5.14,CA,1692388472
45,ndibene dahra,15.3338,-15.4766,31.99,69,100,5.92,SN,1692388771
46,thompson,55.7435,-97.8558,16.09,100,100,2.57,CA,1692388471
47,vila franca do campo,37.7167,-25.4333,24.23,68,11,2.33,PT,1692388464
48,ushuaia,-54.8,-68.3,5.81,61,40,3.09,AR,1692388478
49,vilyuchinsk,52.9306,158.4028,14.15,90,100,3.02,RU,1692388607
50,sinop,41.7711,34.8709,20.22,93,34,0.76,TR,1692388568
51,guerrero negro,27.9769,-114.0611,28.55,44,10,5.17,MX,1692388565
52,el jadid,33.2549,-8.506,22.74,85,11,6.52,MA,1692388772
53,college,64.8569,-147.8028,13.18,80,100,2.57,US,1692388443
54,port mathurin,-19.6833,63.4167,22.68,78,4,6.41,MU,1692388489
55,whitehorse,60.7161,-135.0538,13.43,71,75,1.03,CA,1692388486
56,edinboro,41.8742,-80.1317,20.4,65,69,3.13,US,1692388772
57,sucua,-2.4667,-78.1667,32.41,42,40,0.0,EC,1692388773
58,klaksvik,62.2266,-6.589,12.51,95,47,7.82,FO,1692388773
59,vorkuta,67.5,64.0,10.71,96,100,7.79,RU,1692388773
60,keflavik,64.0049,-22.5624,15.95,88,75,6.69,IS,1692388559
61,glace bay,46.1969,-59.957,21.14,98,100,6.17,CA,1692388718
62,arraial do cabo,-22.9661,-42.0278,27.98,65,0,8.23,BR,1692388555
63,tazovsky,67.4667,78.7,7.23,81,0,1.2,RU,1692388597
64,kununurra,-15.7667,128.7333,26.99,34,40,5.66,AU,1692388564
65,iqaluit,63.7506,-68.5145,5.85,100,100,10.73,CA,1692388471
66,necochea,-38.5473,-58.7368,9.99,62,5,8.54,AR,1692388506
67,kamaishi,39.2667,141.8833,24.87,89,18,2.77,JP,1692388775
68,port saint john's,-31.6229,29.5448,16.46,67,63,3.38,ZA,1692388575
69,opuwo,-18.0607,13.84,18.75,28,4,2.92,NA,1692388775
70,st. john's,47.5649,-52.7093,21.82,77,100,3.6,CA,1692388342
71,lompoc,34.6391,-120.4579,32.23,60,20,3.09,US,1692388501
72,uturoa,-16.7333,-151.4333,25.35,68,71,8.97,PF,1692388476
73,holualoa,19.6228,-155.9522,28.91,72,20,6.69,US,1692388610
74,staryy dobrotvir,50.2315,24.377,20.23,60,0,3.45,UA,1692388776
75,saryaghash,41.45,69.1667,21.96,23,0,2.23,KZ,1692388776
76,atafu village,-8.5421,-172.5159,28.12,79,99,7.83,TK,1692388560
77,dakhla,23.6848,-15.958,23.01,83,20,9.26,EH,1692388776
78,cidade velha,14.9167,-23.6167,28.26,78,40,3.6,CV,1692388776
79,dhuusamarreeb,5.535,46.3861,25.27,63,100,9.81,SO,1692388776
80,ribeira grande,38.5167,-28.7,24.87,69,20,6.17,PT,1692388471
81,susuman,62.7833,148.1667,12.93,83,90,1.46,RU,1692388491
82,floro,61.5996,5.0328,21.04,77,0,0.0,NO,1692388777
